Provinsi,DKI Jakarta,Jawa Barat,Jawa Timur,Sulawesi Selatan,Jawa Tengah,Banten,Bali,Papua,Kalimantan Selatan,Sumatera Selatan,Sumatera Utara,Kepulauan Riau,Sumatera Barat,Kalimantan Utara,DI Yogyakarta,Nusa Tenggara Barat,Kalimantan Timur,Kalimantan Tengah,Sulawesi Tenggara,Riau,Sulawesi Tengah,Lampung,Kalimantan Barat,Sulawesi Utara,Maluku,Jambi,Aceh,Papua Barat,Kep. Bangka Belitung,Sulawesi Barat,Maluku Utara,Bengkulu,Gorontalo,Nusa Tenggara Timur,Lokasi belum diketahui
29 Mar '20,675,149,90,47,63,106,10,9,1,2,8,5,5,2,22,2,17,7,3,2,2,4,8,2,1,1,5,2,0,1,1,0,0,0,33
30 Mar '20,698,180,91,50,81,128,19,9,5,2,13,6,8,2,18,2,17,7,3,3,3,8,9,2,1,2,5,2,1,1,1,0,0,0,37
31 Mar '20,747,198,93,50,93,142,19,9,5,2,13,6,8,2,23,2,17,7,3,3,3,8,9,2,1,2,5,2,1,1,1,1,0,0,50
1 Apr '20,808,220,104,66,104,152,25,10,8,5,22,7,8,2,28,6,21,9,3,3,2,8,10,3,1,2,5,2,2,1,1,1,0,0,28
2 Apr '20,897,223,104,66,104,164,25,10,8,11,22,7,8,2,27,6,21,9,3,7,2,8,10,3,1,2,5,2,2,1,1,1,0,0,28
3 Apr '20,971,225,155,82,114,170,27,16,8,12,22,8,8,8,27,7,22,12,6,10,4,12,10,3,1,2,5,2,2,1,1,2,0,0,31
4 Apr '20,1028,247,152,82,120,173,32,18,8,12,25,8,8,8,33,7,24,11,5,10,4,11,10,3,1,2,5,2,2,1,1,2,0,0,37
5 Apr '20,1124,252,188,83,120,177,35,26,16,16,25,9,8,8,34,7,30,11,6,11,4,11,10,3,1,2,5,2,2,2,1,2,0,0,42
6 Apr '20,1232,263,189,113,132,187,43,26,18,16,26,9,18,15,40,10,31,20,7,12,4,12,12,5,1,2,5,2,2,2,1,2,0,0,34
7 Apr '20,1369,343,194,127,133,194,43,26,18,16,26,9,18,15,41,10,31,20,7,12,5,12,10,8,1,2,5,2,2,2,1,2,0,0,34
8 Apr '20,1470,365,196,127,140,212,49,38,22,16,59,9,18,16,41,10,32,20,11,12,5,15,10,8,3,2,6,2,2,2,2,2,0,0,34
9 Apr '20,1706,376,223,138,144,218,63,38,22,17,59,22,18,16,41,16,32,20,15,12,5,15,10,8,3,2,6,2,2,2,2,2,0,1,37
10 Apr '20,1753,388,256,167,144,243,75,38,29,21,59,21,31,16,41,25,35,24,15,13,14,20,10,13,3,2,5,2,3,3,2,4,1,1,35
11 Apr '20,1948,421,267,178,144,279,79,62,29,21,59,21,31,16,41,27,35,24,16,16,19,20,10,13,3,4,5,2,4,5,2,4,1,1,35
12 Apr '20,2044,450,386,222,200,281,81,63,34,21,65,21,44,16,41,37,35,24,16,16,19,20,13,17,11,4,5,3,4,5,2,4,1,1,35
13 Apr '20,2186,540,440,223,203,285,86,68,34,21,67,21,45,16,57,37,35,25,16,20,19,21,13,17,11,4,5,2,4,5,2,4,1,1,23
14 Apr '20,2335,530,475,231,278,280,92,68,37,19,72,26,48,16,62,37,35,25,16,20,19,21,13,17,11,5,5,2,4,5,2,4,1,1,27
15 Apr '20,2474,559,499,242,292,281,98,75,49,22,78,32,55,20,62,37,35,33,24,20,22,20,13,18,14,6,5,2,5,7,4,4,1,1,27
16 Apr '20,2670,570,514,271,300,297,113,80,59,37,79,38,55,28,62,45,44,34,26,24,22,25,21,18,14,7,5,5,6,7,4,4,4,1,27
17 Apr '20,2815,632,522,332,304,311,124,89,74,54,79,58,62,47,64,51,44,35,27,26,24,26,21,18,14,8,5,5,6,7,4,4,4,1,26
18 Apr '20,2924,641,555,343,329,321,131,95,92,84,79,79,71,50,67,55,54,41,28,30,24,26,21,20,17,8,6,5,6,7,4,4,4,1,26
19 Apr '20,3032,696,590,370,349,324,135,107,96,89,81,79,72,69,67,61,59,46,37,30,27,26,21,20,17,8,7,7,7,7,4,4,4,1,26
20 Apr '20,3097,747,590,370,351,341,140,107,96,89,83,79,74,74,69,72,59,60,37,34,27,26,21,20,17,8,7,7,7,7,4,4,4,1,31
21 Apr '20,3260,756,603,374,449,341,150,118,98,89,84,81,76,77,72,93,68,67,37,35,27,27,27,20,17,13,7,7,8,7,4,8,7,1,27
22 Apr '20,3383,762,638,387,479,337,152,123,107,89,93,81,81,77,75,108,69,82,37,35,29,27,31,20,17,13,7,8,8,8,12,8,7,1,27
23 Apr '20,3517,784,664,397,538,337,167,130,114,93,95,83,86,77,76,115,74,83,37,36,29,38,50,31,17,14,7,13,8,8,14,8,7,1,27
24 Apr '20,3599,862,690,420,575,359,177,136,132,106,96,83,96,77,77,153,85,94,41,36,32,38,50,36,17,18,8,15,9,33,14,8,12,1,26
25 Apr '20,3684,907,770,432,621,370,183,136,146,119,105,83,97,83,79,180,97,100,41,38,36,38,51,36,22,21,9,16,9,35,14,8,14,1,26
26 Apr '20,3798,912,785,440,649,370,186,141,146,129,111,85,102,89,82,195,105,104,45,39,36,42,51,40,22,32,9,16,10,35,26,8,15,1,26
27 Apr '20,3869,951,796,440,666,382,194,151,150,129,111,86,121,90,83,206,107,112,45,39,36,42,51,40,22,32,9,16,10,35,26,8,14,1,26
28 Apr '20,4002,969,857,453,682,388,215,177,150,143,111,89,144,92,93,221,115,121,45,40,42,44,51,43,22,32,9,37,10,37,26,8,15,1,27
29 Apr '20,4092,1009,872,465,711,388,215,189,157,144,114,89,145,92,94,230,119,127,53,41,47,46,58,44,23,32,9,37,10,38,26,12,15,1,27
30 Apr '20,4175,1012,958,491,724,404,222,205,170,150,117,89,148,100,95,230,134,145,62,41,47,46,58,45,23,32,10,37,10,42,40,12,15,3,26
